iter	Passed	Remaining
0	135	135558
1	138	68987
2	141	46898
3	144	35857
4	148	29488
5	150	24998
6	153	21830
7	157	19559
8	160	17645
9	162	16115
10	165	14913
11	168	13865
12	171	13040
13	175	12379
14	178	11722
15	183	11274
16	187	10849
17	191	10433
18	195	10094
19	198	9738
20	201	9405
21	204	9100
22	207	8813
23	209	8534
24	213	8324
25	215	8088
26	218	7888
27	221	7696
28	225	7534
29	227	7357
30	230	7191
31	233	7049
32	235	6900
33	239	6792
34	241	6657
35	244	6540
36	246	6428
37	249	6322
38	252	6228
39	255	6133
40	258	6040
41	261	5967
42	264	5879
43	267	5810
44	270	5730
45	272	5656
46	275	5589
47	278	5516
48	280	5451
49	283	5385
50	285	5313
51	288	5257
52	290	5193
53	293	5137
54	295	5083
55	298	5030
56	301	4985
57	303	4935
58	306	4891
59	309	4846
60	311	4801
61	314	4756
62	316	4711
63	319	4677
64	322	4643
65	326	4616
66	328	4578
67	331	4542
68	333	4506
69	336	4475
70	339	4441
71	342	4408
72	344	4380
73	346	4338
74	349	4311
75	352	4280
76	354	4250
77	357	4222
78	359	4194
79	362	4169
80	365	4143
81	367	4115
82	371	4099
83	372	4062
84	375	4039
85	377	4015
86	380	3992
87	383	3970
88	385	3949
89	388	3928
90	391	3908
91	394	3889
92	396	3868
93	399	3848
94	401	3828
95	404	3808
96	407	3788
97	409	3769
98	412	3751
99	414	3734
100	417	3717
101	420	3700
102	422	3682
103	425	3665
104	428	3649
105	430	3634
106	433	3618
107	436	3602
108	438	3588
109	441	3572
110	445	3564
111	447	3549
112	450	3534
113	455	3539
114	459	3536
115	462	3524
116	465	3516
117	468	3503
118	472	3501
119	475	3489
120	478	3477
121	481	3466
122	485	3459
123	488	3448
124	490	3436
125	495	3433
126	498	3424
127	501	3418
128	504	3405
129	507	3393
130	509	3381
131	512	3368
132	515	3358
133	517	3345
134	520	3333
135	522	3318
136	524	3305
137	527	3295
138	530	3284
139	532	3273
140	535	3264
141	538	3252
142	540	3240
143	543	3228
144	545	3219
145	548	3209
146	550	3195
147	553	3185
148	555	3174
149	558	3164
150	561	3155
151	563	3145
152	566	3135
153	568	3124
154	571	3116
155	574	3108
